City,Region,Country,Source,Code,Latitude,Longitude,Time_Zone,Elevation,URL
NAIROBI/DAGORETTI_,-,KEN,SWERA,637400,-1.30,36.75,3.0,1798.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Dagoretti.637410_SWERA/KEN_Nairobi-Dagoretti.637410_SWERA.epw
NAIROBI/JOMO_KENYAT,-,KEN,SWERA,637400,-1.32,36.92,3.0,1624.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Kenyatta.637400_SWERA/KEN_Nairobi-Kenyatta.637400_SWERA.epw
NAIROBI/WILSON,-,KEN,SWERA,637400,-1.32,36.82,3.0,1679.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Wilson.637420_SWERA/KEN_Nairobi-Wilson.637420_SWERA.epw
NAIROBI,-,KEN,IWEC Data,637400,-1.32,36.92,3.0,1624.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi.637400_IWEC/KEN_Nairobi.637400_IWEC.epw
NAKURU,-,KEN,SWERA,637140,-0.27,36.10,3.0,1901.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nakuru.637140_SWERA/KEN_Nakuru.637140_SWERA.epw
NAROK,-,KEN,SWERA,637370,-1.13,35.83,3.0,1890.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Narok.637370_SWERA/KEN_Narok.637370_SWERA.epw
NYERI,-,KEN,SWERA,637170,-0.50,36.97,3.0,1759.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nyeri.637170_SWERA/KEN_Nyeri.637170_SWERA.epw
VOI,-,KEN,SWERA,637930,-3.40,38.57,3.0,579.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Voi.637930_SWERA/KEN_Voi.637930_SWERA.epw
ELDORET,-,KEN,SWERA,636860,0.53,35.28,3.0,2133.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Eldoret.636860_SWERA/KEN_Eldoret.636860_SWERA.epw
EMBU,-,KEN,SWERA,637200,-0.50,37.45,3.0,1493.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Embu.637200_SWERA/KEN_Embu.637200_SWERA.epw
